code,name_es
MANTENIMIENTO,Mantenimiento
REPARACION,Reparación
NORMATIVA,Normativa
MEJORA,Mejora
SEGURIDAD,Seguridad
VIDA_UTIL,Vida útil
SOFT_COST,Soft Cost
MEDIOAMBIENTAL,Medioambiental
ESG,ESG
OTRO,Otro
